u_mps,v_mps,w_mps,p_rps,q_rps,r_rps,phi_rad,theta_rad,psi_rad,p1_n_m,p2_n_m,p3_n_m
-5.6233950251,4.1206906111,12.0084818737,0.0295881213,0.3683500067,0.4791191119,0.3305578980,0.4169614506,0.8068605782,-0.3985467060,-0.0444697489,-9136.4827842286
-5.6875209974,4.1804115700,12.0709449896,0.0286338114,0.3678725732,0.4788873218,0.3333928093,0.4188804597,0.8131282221,-0.4117735043,-0.0457586515,-9136.3434405944
-5.7517112712,4.2405440665,12.1330674489,0.0276821424,0.3673877780,0.4786566210,0.3362320327,0.4207794255,0.8194030092,-0.4253284362,-0.0470635980,-9136.2031191081
-5.8159594323,4.3010870759,12.1948507751,0.0267331434,0.3668956586,0.4784270001,0.3390754534,0.4226582569,0.8256848371,-0.4392166126,-0.0483839260,-9136.0618197697
-5.8802590703,4.3620395583,12.2562965488,0.0257868436,0.3663962530,0.4781984494,0.3419229546,0.4245168641,0.8319736011,-0.4534431608,-0.0497189321,-9135.9195425791
-5.9446037793,4.4234004579,12.3174064077,0.0248432716,0.3658895994,0.4779709591,0.3447744174,0.4263551586,0.8382691939,-0.4680132234,-0.0510678712,-9135.7762875362
-6.0089871583,4.4851687039,12.3781820457,0.0239024563,0.3653757363,0.4777445192,0.3476297213,0.4281730535,0.8445715059,-0.4829319577,-0.0524299558,-9135.6320546410
-6.0734028121,4.5473432098,12.4386252128,0.0229644258,0.3648547023,0.4775191196,0.3504887437,0.4299704632,0.8508804249,-0.4982045341,-0.0538043558,-9135.4868438935
-6.1378443520,4.6099228737,12.4987377146,0.0220292086,0.3643265365,0.4772947499,0.3533513599,0.4317473035,0.8571958363,-0.5138361352,-0.0551901975,-9135.3406552936
-6.2023053961,4.6729065784,12.5585214118,0.0210968325,0.3637912781,0.4770713997,0.3562174437,0.4335034919,0.8635176231,-0.5298319551,-0.0565865634,-9135.1934888413
